ingestdate,source,mfr,mpn,partnumber,qtyavail,price
20131213,source1,mfr1,mpn1,partnumber1,6232,2.59
20131214,source1,mfr1,mpn1,partnumber1,6232,2.59
20131215,source1,mfr1,mpn1,partnumber1,6232,2.59
20131216,source1,mfr1,mpn1,partnumber1,6232,2.59
20131217,source1,mfr1,mpn1,partnumber1,6232,2.59
20131218,source1,mfr1,mpn1,partnumber1,6231,2.59
20131219,source1,mfr1,mpn1,partnumber1,6231,2.59
20131220,source1,mfr1,mpn1,partnumber1,6230,2.59
20131221,source1,mfr1,mpn1,partnumber1,6230,2.59
20131222,source1,mfr1,mpn1,partnumber1,6230,2.59
20131223,source1,mfr1,mpn1,partnumber1,6230,2.59
20131224,source1,mfr1,mpn1,partnumber1,6230,2.59
20131225,source1,mfr1,mpn1,partnumber1,6230,2.59
20131226,source1,mfr1,mpn1,partnumber1,6230,2.59
20131227,source1,mfr1,mpn1,partnumber1,6230,2.59
20131228,source1,mfr1,mpn1,partnumber1,6224,2.59
20131229,source1,mfr1,mpn1,partnumber1,6224,2.59
20131230,source1,mfr1,mpn1,partnumber1,6224,2.59
20131231,source1,mfr1,mpn1,partnumber1,6224,2.59
20140101,source1,mfr1,mpn1,partnumber1,6224,2.59
20140102,source1,mfr1,mpn1,partnumber1,6224,2.59
20140103,source1,mfr1,mpn1,partnumber1,6224,2.59
20140104,source1,mfr1,mpn1,partnumber1,6224,2.59
20140105,source1,mfr1,mpn1,partnumber1,6224,2.59
20140106,source1,mfr1,mpn1,partnumber1,6224,2.59
20140107,source1,mfr1,mpn1,partnumber1,6214,2.59
20140108,source1,mfr1,mpn1,partnumber1,6214,2.59
20140109,source1,mfr1,mpn1,partnumber1,6214,2.59
20140110,source1,mfr1,mpn1,partnumber1,6214,2.59
20140111,source1,mfr1,mpn1,partnumber1,6214,2.59
20140112,source1,mfr1,mpn1,partnumber1,6214,2.59
20140113,source1,mfr1,mpn1,partnumber1,6214,2.59
20140114,source1,mfr1,mpn1,partnumber1,6214,2.59
20140115,source1,mfr1,mpn1,partnumber1,6214,2.59
20140116,source1,mfr1,mpn1,partnumber1,6214,2.59
20140117,source1,mfr1,mpn1,partnumber1,6214,2.59
20140118,source1,mfr1,mpn1,partnumber1,6214,2.59
20140119,source1,mfr1,mpn1,partnumber1,6214,2.59
20140120,source1,mfr1,mpn1,partnumber1,6214,2.59
20140121,source1,mfr1,mpn1,partnumber1,6214,2.59
20140122,source1,mfr1,mpn1,partnumber1,6214,2.59
20140123,source1,mfr1,mpn1,partnumber1,6214,2.59
20140124,source1,mfr1,mpn1,partnumber1,6214,2.59
20140125,source1,mfr1,mpn1,partnumber1,6214,2.59
20140126,source1,mfr1,mpn1,partnumber1,6114,2.59
20140127,source1,mfr1,mpn1,partnumber1,6114,2.59
20140128,source1,mfr1,mpn1,partnumber1,6114,2.59
20140129,source1,mfr1,mpn1,partnumber1,6114,2.59
20140131,source1,mfr1,mpn1,partnumber1,6114,2.59
20140202,source1,mfr1,mpn1,partnumber1,6114,2.59
