ingestdate,qtyavail
20150507,10157872
20150508,10120000
20150508,10156622
20150508,10156622
20150516,7710000
20150516,7751256
20150516,7751256
20150518,7710000
20150518,7751256
20150518,7751256
20150526,7940000
20150526,7976490
20150526,7976490
20150428,10970000
20150428,11019063
20150428,11019063
20150503,10350000
20150503,10392794
20150503,10392794
20150505,10350000
20150505,10390583
20150505,10390583
20150427,11030000
20150427,11050856
20150427,11050856
20150504,10350000
20150504,10392794
20150504,10392794
20150506,10960000
20150506,10998483
20150506,10998483
20150509,10120000
20150509,10147294
20150509,10147294
20150511,10120000
20150511,10147194
20150511,10147194
20150515,7710000
20150515,7752373
20150515,7752373
20150514,7710000
20150514,7753193
20150514,7753193
20150517,7710000
20150517,7751256
20150517,7751256
20150525,7940000
20150525,7976768
20150525,7976768
20150415,3300000
20150415,3332089
20150415,3332089
20150429,11060000
20150429,11108277
20150429,11108277
20150430,10380000
20150430,10426756
20150430,10426756
20150519,8550000
20150519,8579082
20150519,8579082
20150520,8550000
20150520,8574582
20150520,8574582
20150524,7940000
20150524,7976918
20150524,7976918
20150412,2800000
20150412,2832874
20150412,2832874
20150420,14290000
20150420,14326656
20150420,14326656
20150424,11030000
20150424,11052401
20150424,11052376
20150414,2800000
20150414,2832099
20150414,2832099
20150416,3580000
20150416,3628754
20150416,3628754
20150419,14290000
20150419,14327156
20150419,14327156
20150404,3120000
20150404,3143227
20150404,3143227
20150411,2800000
20150411,2832984
20150411,2832984
20150413,2800000
20150413,2832859
20150413,2832859
20140708,10850000
20140708,10950071
20140708,10950071
20140710,9290000
20140710,9381729
20140710,9381729
20140711,9280000
20140711,9363349
20140711,9363349
20140714,9280000
20140714,9365476
20140714,9365476
20130812,15848000
20130812,15857710
20130812,15857710
20130814,15788000
20130814,15797410
20130814,15797410
20130814,15788000
20130814,15797410
20130814,15797410
20130814,15778000
20130814,15786210
20130814,15787210
20130815,15778000
20130815,15796210
20130815,15796210
20130818,15718000
20130818,15735960
20130818,15735960
20131114,3038000
20131114,3053504
20131114,3053504
20131118,2938000
20131118,2949252
20131118,2949252
20131120,4458000
20131120,4477394
20131120,4477394
20131123,2498000
20131123,2530979
20131123,2530979
20131130,1228000
20131130,1244119
20131130,1244119
20131204,228000
20131204,249647
20131204,249647
20131206,168000
20131206,187855
20131206,187855
20150406,3120000
20150406,3143127
20150406,3143127
20150408,3480000
20150408,3499284
20150408,3499284
20150410,2800000
20150410,2836284
20150410,2836284
20140720,9100000
20140720,9168167
20140720,9168159
20140722,9630000
20140722,9691332
20140722,9691332
20140727,7790000
20140727,7942669
20140727,7942669
20150405,3120000
20150405,3143227
20150405,3143227
20150407,3120000
20150407,3141077
20150407,3141077
20150409,3470000
20150409,3506654
20150409,3506654
20140805,5970000
20140805,6112124
20140805,6112124
20140808,6420000
20140808,6533138
20140808,6533138
20140809,5540000
20140809,5651938
20140809,5651938
20150329,4280000
20150329,4298663
20150329,4298663
20150330,4280000
20150330,4298663
20150330,4298663
20150402,4050000
20150402,4079428
20150402,4079428
20150326,4320000
20150326,4350163
20150326,4350163
20150328,4280000
20150328,4298665
20150328,4298665
20150401,4050000
20150401,4085103
20150401,4085103
20150418,14290000
20150418,14327276
20150418,14327276
20150425,11030000
20150425,11050886
20150425,11050886
20150426,11030000
20150426,11050886
20150426,11050886
20150324,5870000
20150324,5903824
20150324,5903824
20150331,3570000
20150331,3586883
20150331,3586883
20150403,3130000
20150403,3154328
20150403,3154328
20140904,2020000
20140904,2110359
20140904,2110359
20140905,2000000
20140905,2089789
20140905,2089789
20140907,1990000
20140907,2079149
20140907,2079149
20140825,3440000
20140825,3542977
20140825,3542977
20140827,2890000
20140827,2990689
20140827,2990689
20140901,1380000
20140901,1475089
20140901,1475089
20150313,8740000
20150313,8761621
20150313,8761621
20150318,7170000
20150318,7193742
20150318,7193742
20150319,7160000
20150319,7191422
20150319,7191422
20150321,7140000
20150321,7167954
20150321,7167954
20150323,7130000
20150323,7157844
20150323,7157844
20150327,4300000
20150327,4346315
20150327,4346315
20150317,8070000
20150317,8097856
20150317,8097856
